SMILES,PCE (%)
C=1C=CC(=CC1)N2C3=CC=CC=C3C4=C2C=5C=6C=CC=CC6N(C=7C=CC=CC7)C5C=8C=9C=CC=CC9N(C=%10C=CC=CC%10)C48,15.3
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C=3C=C4C=5C=C(C=C(C5N(C4=C(C3)N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)CC)N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C,17.81
N1=C(C(=NC=2C1=C(SC2C=3C=CC(=CC3)N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C6=CC=C(C=C6)N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=9C=CC(OC)=CC9)C=%10C=CC(OC)=CC%10,19.27
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=C(C(C=4C(=C(C(=C(C4C)N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C)N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C)=C(C(=C3C)N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C)C)C,12.11
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C=3C=CC=4C5=CC=C(C=C5C6(C4C3)C7=CC(=CC=C7N(C8=CC=C(C=C8)C(C)(C)C)C9=CC=C(C=C96)C(C)(C)C)C(C)(C)C)N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C,10.8
C=1C=CC2=C(C1)C3=CC(C=CC4=CC=C(C=C4)N(C5=CC=C(C=C5)C=6C=CC(=CC6)N(C7=CC=C(C=CC8=CC=C9C(=C8)C=%10C=CC=CC%10N9CC)C=C7)C%11=CC=C(C=CC%12=CC=C%13C(=C%12)C=%14C=CC=CC%14N%13CC)C(=C%11)C)C%15=CC=C(C=CC%16=CC=C%17C(=C%16)C=%18C=CC=CC%18N%17CC)C(=C%15)C)=CC=C3N2CC,11.73
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)C=4C=CC=5C=6C=CC(=CC6[Si](C5C4)(CCCCCC)CCCCCC)C=7C=CC(=CC7)N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C,11.0
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)C=4C=C5C6=C(C4)C(C7=CC(=CC8=C7N6C=9C(=CC(=CC9C8(C)C)C%10=CC=C(C=C%10)N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C5(C)C)C%13=CC=C(C=C%13)N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)(C)C)C,13.6
O=C1C=2C=CC=CC2C=3C=CC=CC3C14C=5C=C(C=CC5C=6C=CC(=CC64)C=7C=CC(=CC7)N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C%10=CC=C(C=C%10)N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12,14.72
N=1C(=NC(=NC1C=2SC(=CC2)C=3C=CC(=CC3)N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=6SC(=CC6)C=7C=CC(=CC7)N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=%10SC(=CC%10)C=%11C=CC(=CC%11)N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13,10.9
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)C=4SC(C=5C=CC(=CC5)N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C(C8=CC=C(C=C8)N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C4C=%11C=CC(=CC%11)N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C,15.4
COc%14ccc(N(c1ccc(OC)cc1)c2ccc6c(c2)c5cc(N(c3ccc(OC)cc3)c4ccc(OC)cc4)ccc5n6n%13c9ccc(N(c7ccc(OC)cc7)c8ccc(OC)cc8)cc9c%12cc(N(c%10ccc(OC)cc%10)c%11ccc(OC)cc%11)ccc%12%13)cc%14,17.0
N1=C(C(=NC2=C1C(=CC=C2C3=CC=C(C=C3)N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=6C=CC(=CC6)N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=9SC(=CC9)C)C=%10SC(=CC%10)C,19.62
N=1SN=C2C1C(=CC=C2C=3SC=4C=5SC(=CC5[Si](C4C3)(CCCCCC)CCCCCC)C=6C=C7C8=C(C6)C(C9=CC(=CC%10=C9N8C=%11C(=CC(=CC%11C%10(C)C)C=%12SC=%13C=%14SC(=CC%14[Si](C%13C%12)(CCCCCC)CCCCCC)C%15=CC=C(C%16=NSN=C%16%15)C=%17SC(=CC%17)C=%18SC(=CC%18)C=%19SC(=CC%19)CCCCCC)C7(C)C)C=%20SC=%21C=%22SC(=CC%22[Si](C%21C%20)(CCCCCC)CCCCCC)C%23=CC=C(C%24=NSN=C%24%23)C=%25SC(=CC%25)C=%26SC(=CC%26)C=%27SC(=CC%27)CCCCCC)(C)C)C=%28SC(=CC%28)C=%29SC(=CC%29)C=%30SC(=CC%30)CCCCCC,12.8
COC1=CC=C(C=C1)N(C1=CC=2C(C3=CC(=CC=C3C2C=C1)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)=C1C2=CC(=CC=C2C=2C=CC(=CC12)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)N(C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC)C1=CC=C(C=C1)OC,16.6
O=C1C(C=2SC=C(C=3C=CC=CC3)C2N1CC(CC)CCCC)=C4C(=O)N(C5=C4SC=C5C6=CC=CC=C6)CC(CC)CCCC,10.5
O=C1NC(=O)C=2C=C(SC2C=3SC(=CC13)C4=CC=C(C=C4)N5C6=CC=C(C=C6C=7C=C(C=CC75)N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=%12C=CC(=CC%12)N%13C%14=CC=C(C=C%14C=%15C=C(C=CC%15%13)N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19,20.81
S(C1=CC=C(C=C1)N(C2=CC=C(SC)C=C2)C3=CC=C4C5=CC=C(C=C5C6(C4=C3)C7=CC(=CC=C7C8=CC=C(C=C86)N(C9=CC=C(SC)C=C9)C%10=CC=C(SC)C=C%10)N(C%11=CC=C(SC)C=C%11)C%12=CC=C(SC)C=C%12)N(C%13=CC=C(SC)C=C%13)C%14=CC=C(SC)C=C%14)C,15.92
CCCCOc%19ccc(N(c1ccc(OCCC)cc1)c%18ccc(c8cc7c5cc(c4ccc(N(c2ccc(OCCCC)cc2)c3ccc(OCCCC)cc3)cc4)sc5c6cc%17c(cc6c7s8)c%12sc(c%11ccc(N(c9ccc(OCCCC)cc9)c%10ccc(OCCCC)cc%10)cc%11)cc%12c%16cc(c%15ccc(N(c%13ccc(OCCCC)cc%13)c%14ccc(OCCCC)cc%14)cc%15)sc%16%17)cc%18)cc%19,17.3
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)C=4SC=5C=6SC(=CC6C7=C(SC(C=8C=CC(=CC8)N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)=C7C5C4)C%11=CC=C(C=C%11)N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=%14C=CC(=CC%14)N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C,18.17
O=C1C(C=2SC(=CC2N1CC(CC)CCCC)C=3C=C(C=C(C3)N4C=5C=CC=CC5C=6C=CC=CC64)N7C=8C=CC=CC8C=9C=CC=CC97)=C%10C(=O)N(C=%11C=C(SC%11%10)C=%12C=C(C=C(C%12)N%13C=%14C=CC=CC%14C=%15C=CC=CC%15%13)N%16C=%17C=CC=CC%17C=%18C=CC=CC%18%16)CC(CC)CCCC,9.5
O(C1=CC=C(C=C1)N(C2=CC=C(OC)C=C2)C3=CC=C(C=C3)C=4C=CC=5C=6C=CC(=CC6C(C5C4)=C7C8=CC(=CC=C8C=9C=CC(=CC97)C=%10C=CC(=CC%10)N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C%13=CC=C(C=C%13)N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C%16=CC=C(C=C%16)N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C,18.61
